Branch Name,Types,Business Status,City,Province,Region,Address,Latitude,Longitude,Rating,User Ratings Count,Place ID,Google Maps Link
LandBank ATM,ATM,OPERATIONAL,Piddig,Ilocos Norte,Ilocos Region,"5P78+XC2, Presidential Street, Piddig, Ilocos Norte, Philippines",18.1648795,120.7160035,,,ChIJ33cz_IvbjjMRaSjMji3Ete0,https://www.google.com/maps/place/?q=place_id:ChIJ33cz_IvbjjMRaSjMji3Ete0
LAND BANK ATM,ATM,OPERATIONAL,Vintar,Ilocos Norte,Ilocos Region,"6JJX+2J7 City Hall, Rizal, Barangay 2, Vintar, 2915 Ilocos Norte, Philippines",18.229767,120.6489392,,,ChIJpdN4PLLPjjMRKEPNUNnSTZk,https://www.google.com/maps/place/?q=place_id:ChIJpdN4PLLPjjMRKEPNUNnSTZk
LANDBANK - Candon,Bank,OPERATIONAL,Candon City,Ilocos Sur,Ilocos Region,"5CWX+9CR, LANDBANK Building, National Highway corner Pacquing Street, Candon, 2710, Ilocos Sur, MacArthur Hwy, Candon City, Philippines",17.1960593,120.4487288,3.6,11,ChIJ2-Yk9e8ZjjMRFQxTiF8ViHM,https://www.google.com/maps/place/?q=place_id:ChIJ2-Yk9e8ZjjMRFQxTiF8ViHM
Landbank,Bank,OPERATIONAL,Vigan City,Ilocos Sur,Ilocos Region,"17 Quezon Ave, Vigan City, 2700 Quezon Ave, Vigan City, 2700 Ilocos Sur, Philippines",17.5732415,120.3862698,,,ChIJ1wHBQHRljjMRqZeugPX34g4,https://www.google.com/maps/place/?q=place_id:ChIJ1wHBQHRljjMRqZeugPX34g4
LANDBANK - Tagudin,Bank,OPERATIONAL,Tagudin,Ilocos Sur,Ilocos Region,"Tagudin, Ilocos Sur, Philippines",16.9332737,120.4489576,3,2,ChIJSUshFL3mkTMR6UqVbf4WMJ4,https://www.google.com/maps/place/?q=place_id:ChIJSUshFL3mkTMR6UqVbf4WMJ4
Land Bank,Bank,OPERATIONAL,Quezon City,NCR,NCR,"Agham Rd, Quezon City, Metro Manila, Philippines",14.6502284,121.039184,3,2,ChIJ1yRsigO3lzMR5eEsam84xHQ,https://www.google.com/maps/place/?q=place_id:ChIJ1yRsigO3lzMR5eEsam84xHQ
Land Bank,Bank,OPERATIONAL,San Ildefonso,Ilocos Sur,Ilocos Region,"San Ildefonso, Ilocos Sur, Philippines",17.6275537,120.3997329,,,ChIJpRdUNWVkjjMRdj_Gqy274-I,https://www.google.com/maps/place/?q=place_id:ChIJpRdUNWVkjjMRdj_Gqy274-I
"LANDBANK - San Fernando, La Union",Bank,OPERATIONAL,San Fernando City,La Union,Ilocos Region,"J8C8+4R7, MacArthur Hwy, San Fernando City, La Union, Philippines",16.6202695,120.3169527,2,15,ChIJLYF-hmuOkTMRgsyAQgwo6bw,https://www.google.com/maps/place/?q=place_id:ChIJLYF-hmuOkTMRgsyAQgwo6bw
"LANDBANK - San Fernando, La Union South Highway",Bank,OPERATIONAL,San Fernando City,La Union,Ilocos Region,"J878+CGJ, MacArthur Hwy, San Fernando City, La Union, Philippines",16.613588,120.3162749,4.1,7,ChIJB62cpkGOkTMRi0uA-0wcMMo,https://www.google.com/maps/place/?q=place_id:ChIJB62cpkGOkTMRi0uA-0wcMMo
LANDBANK - Cabarroguis,Bank,OPERATIONAL,Cabarroguis,Quirino,Cagayan Valley,"GGG9+2M2, Cabarroguis, Quirino, Philippines",16.5250033,121.5191139,1,2,ChIJJUhbl7QMkDMRnjXpJOaPMEY,https://www.google.com/maps/place/?q=place_id:ChIJJUhbl7QMkDMRnjXpJOaPMEY
Land Bank,Bank,OPERATIONAL,Quezon City,NCR,NCR,"4M Square, 380 Quirino Hwy, Quezon City, 1100 Metro Manila, Philippines",14.735237,121.0677189,2.9,8,ChIJo18NYQCxlzMRSvpBuao3CNk,https://www.google.com/maps/place/?q=place_id:ChIJo18NYQCxlzMRSvpBuao3CNk
Land Bank of the Philippines,Bank,OPERATIONAL,Binangonan,Rizal,CALABARZON,"F5MP+3VM, Binangonan, 1940 Rizal, Philippines",14.4827204,121.1871567,3.9,21,ChIJf-5-o-7DlzMRg54nzo5RZ4s,https://www.google.com/maps/place/?q=place_id:ChIJf-5-o-7DlzMRg54nzo5RZ4s
Landbank Of The Philippines,ATM,OPERATIONAL,Narvacan,Ilocos Sur,Ilocos Region,"CF9G+H68, National Highway, Narvacan, Ilocos Sur, Philippines",17.4189149,120.4755689,5,1,ChIJZ0S8rK5rjjMRXdCFXPF_5Xo,https://www.google.com/maps/place/?q=place_id:ChIJZ0S8rK5rjjMRXdCFXPF_5Xo
Landbank,Bank,OPERATIONAL,Tanay,Rizal,CALABARZON,"G72M+2F6, M.H. Del Pilar St, Plaza Aldea, Tanay, 1980 Rizal, Philippines",14.5000494,121.2836317,5,1,ChIJLyq_wRXqlzMRs7EUmCCzQ6M,https://www.google.com/maps/place/?q=place_id:ChIJLyq_wRXqlzMRs7EUmCCzQ6M
Landbank,Bank,OPERATIONAL,Taytay,Rizal,CALABARZON,"H47Q+3CF, Taytay, 1920 Rizal, Philippines",14.5626868,121.1385572,3.3,23,ChIJR4pBORLHlzMRoy2bGDqH8kg,https://www.google.com/maps/place/?q=place_id:ChIJR4pBORLHlzMRoy2bGDqH8kg
Landbank ATM,ATM,OPERATIONAL,Cardona,Rizal,CALABARZON,"Rizal, Cardona, Lalawigan ng Rizal, Philippines",14.4851047,121.2306324,5,3,ChIJ5WYkGWLDlzMR9VhpFvTHvSA,https://www.google.com/maps/place/?q=place_id:ChIJ5WYkGWLDlzMR9VhpFvTHvSA
Land Bank of The Philippines - Bicutan DOST Branch,Bank,OPERATIONAL,Taguig,NCR,NCR,"F2PW+WWV, General Santos Ave, Taguig, 1631 Metro Manila, Philippines",14.4874576,121.0472825,3.1,41,ChIJaTIAKRDPlzMR1VHh_VDAg1c,https://www.google.com/maps/place/?q=place_id:ChIJaTIAKRDPlzMR1VHh_VDAg1c
Land Bank of The Philippines,Bank,OPERATIONAL,Tanay,Rizal,CALABARZON,"G74Q+GXC, F. T. Catapusan Street, Tanay, Rizal, Philippines",14.5063167,121.2898886,3.3,13,ChIJu3D6jjzqlzMR8BBcJ_Q5mn0,https://www.google.com/maps/place/?q=place_id:ChIJu3D6jjzqlzMR8BBcJ_Q5mn0
LANDBANK,Bank,OPERATIONAL,Mandaluyong City,NCR,NCR,"477 Boni Ave, Mandaluyong City, 1550 Metro Manila, Philippines",14.5764553,121.0405685,5,3,ChIJVVEdNknIlzMRxBvcZk-IzWM,https://www.google.com/maps/place/?q=place_id:ChIJVVEdNknIlzMRxBvcZk-IzWM
Land Bank of the Philippines - Camp Crame Branch,Bank,OPERATIONAL,Quezon City,NCR,NCR,"J353+8MG, General J Delos Reynes, Cubao, Quezon City, Metro Manila, Philippines",14.6083226,121.0542029,2.9,14,ChIJZdohBd23lzMR3_vkfdTyJwk,https://www.google.com/maps/place/?q=place_id:ChIJZdohBd23lzMR3_vkfdTyJwk
Landbank of the Philippines,ATM,OPERATIONAL,Antipolo City,Rizal,CALABARZON,"38 E Manuel L. Quezon Ext, Antipolo City, 1870 Rizal, Philippines",14.5758321,121.1768903,5,1,ChIJMWLmpq7AlzMRdwC2BIecyQ8,https://www.google.com/maps/place/?q=place_id:ChIJMWLmpq7AlzMRdwC2BIecyQ8
Land Bank of the Philippines - Camp Aguinaldo Branch,Bank,OPERATIONAL,Quezon City,NCR,NCR,"J377+8R8, 18th Ave, Cubao, Quezon City, Metro Manila, Philippines",14.6132965,121.0645664,2.9,15,ChIJkawNpcK3lzMRsmbClYNa1Q4,https://www.google.com/maps/place/?q=place_id:ChIJkawNpcK3lzMRsmbClYNa1Q4
Land Bank,Bank,OPERATIONAL,Makati City,NCR,NCR,"H26F+787, Tordesillas, Salcedo Village, Makati, 1227 Kalakhang Maynila, Philippines",14.560666,121.0232843,4,2,ChIJjXyqywfJlzMRTSCM9d1WK_Y,https://www.google.com/maps/place/?q=place_id:ChIJjXyqywfJlzMRTSCM9d1WK_Y
LANDBANK - Paseo de Roxas,Bank,OPERATIONAL,Makati City,NCR,NCR,"Paseo De Roxas, Corner Benavidez Street, 1226, Philippines",14.5516717,121.0188775,2.8,14,ChIJXRlnsxHJlzMRfUufAsawmm8,https://www.google.com/maps/place/?q=place_id:ChIJXRlnsxHJlzMRfUufAsawmm8
Landbank Guadalupe,Bank,OPERATIONAL,Manila,NCR,NCR,"H27V+8X4, Urdaneta, Makati City, Metro Manila, Philippines",14.5632107,121.0449284,2.6,20,ChIJy0Xnb1fIlzMRLPEIcbjDXNI,https://www.google.com/maps/place/?q=place_id:ChIJy0Xnb1fIlzMRLPEIcbjDXNI
Land Bank of the Philippines,Bank,OPERATIONAL,Makati City,NCR,NCR,"H24G+V9G, Makati Ave, Makati City, Metro Manila, Philippines",14.5571776,121.0259433,3.1,11,ChIJv03WIATJlzMRSL8pvGllS2w,https://www.google.com/maps/place/?q=place_id:ChIJv03WIATJlzMRSL8pvGllS2w
Land Bank Of The Philippines,Bank,OPERATIONAL,Pateros,NCR,NCR,"C & N Building, 50 M. Almeda Street, Pateros, 1620 Metro Manila, Philippines",14.5457059,121.0687321,3.6,27,ChIJLRngs5rIlzMR2-ji2_J2IvQ,https://www.google.com/maps/place/?q=place_id:ChIJLRngs5rIlzMR2-ji2_J2IvQ
Land Bank of the Philippines,Bank,OPERATIONAL,Mandaluyong City,NCR,NCR,"Sun Plaza Bldg, Shaw Blvd, cor Princeton, Mandaluyong City, 1555 Metro Manila, Philippines",14.5853937,121.0490471,4.2,14,ChIJJU-_3zvIlzMRepssPtYBv0s,https://www.google.com/maps/place/?q=place_id:ChIJJU-_3zvIlzMRepssPtYBv0s
LANDBANK - Makati City Hall,Bank,OPERATIONAL,Makati City,NCR,NCR,"Ground Floor, Makati City Hall Building, J. P. Rizal St, Makati City, 1200 Metro Manila, Philippines",14.5700895,121.0273827,3.8,4,ChIJKeFejq7JlzMRL4VoH3_RsOM,https://www.google.com/maps/place/?q=place_id:ChIJKeFejq7JlzMRL4VoH3_RsOM
Landbank Pasig Capitol Branch,Bank,OPERATIONAL,Pasig,NCR,NCR,"JS Gaisano Building, 88 Shaw Boulevard,, Pasig City, Metro Manila, Philippines",14.5725896,121.0641352,3.8,24,ChIJcyKcJ2zIlzMRFVqk7cDW5qo,https://www.google.com/maps/place/?q=place_id:ChIJcyKcJ2zIlzMRFVqk7cDW5qo
LANDBANK - Bauang,Bank,OPERATIONAL,Bauang,La Union,Ilocos Region,"G8GJ+M8F, Bauang, La Union, Philippines",16.5267324,120.330794,3.3,6,ChIJmR5zNziFkTMRomDFvVnZZjs,https://www.google.com/maps/place/?q=place_id:ChIJmR5zNziFkTMRomDFvVnZZjs
LANDBANK - San Ildefonso,Bank,OPERATIONAL,San Ildefonso,Bulacan,Central Luzon,"B01 Pan-Philippine Hwy, San Ildefonso, 3010 1, San Ildefonso, 3010 Bulacan, Philippines",15.0706192,120.9439705,4.2,10,ChIJhcWZ7aoDlzMRopmiin7qFpo,https://www.google.com/maps/place/?q=place_id:ChIJhcWZ7aoDlzMRopmiin7qFpo
Landbank,ATM,OPERATIONAL,Candon City,Ilocos Sur,Ilocos Region,"Candon City, Ilocos Sur, Philippines",17.1655756,120.4408894,,,ChIJjXU9_YEZjjMRMjyN-W4GY1I,https://www.google.com/maps/place/?q=place_id:ChIJjXU9_YEZjjMRMjyN-W4GY1I
LANDBANK - Santa Maria,Bank,OPERATIONAL,Santa Maria,Bulacan,Central Luzon,"311 Gov Fortunato Halili Ave, Santa Maria, 3022 Bulacan, Philippines",14.8151843,120.9499921,2.4,20,ChIJI3vc_K6tlzMRaYXfzP6fcns,https://www.google.com/maps/place/?q=place_id:ChIJI3vc_K6tlzMRaYXfzP6fcns
LANDBANK - Santiago,Bank,OPERATIONAL,Santiago,Isabela,Cagayan Valley,"G/F, Heritage Building, 1, Santiago, 3311 Isabela, Philippines",16.6885139,121.5510861,3.3,3,ChIJk6Ss-RwGkDMR1ULx7LDfDnc,https://www.google.com/maps/place/?q=place_id:ChIJk6Ss-RwGkDMR1ULx7LDfDnc
LANDBANK - Agoo,Bank,OPERATIONAL,Agoo,La Union,Ilocos Region,"89G8+6J7, Agoo, La Union, Philippines",16.3255391,120.3665237,4.7,6,ChIJvbuZOG13kTMRW5DV2FSbXrs,https://www.google.com/maps/place/?q=place_id:ChIJvbuZOG13kTMRW5DV2FSbXrs
Landbank ATM,ATM,OPERATIONAL,Aringay,La Union,Ilocos Region,"Aringay Municipal Hall, Aringay, La Union, Philippines",16.3949945,120.3540762,5,1,ChIJa109TwCdkTMRPVh3X0uaEg4,https://www.google.com/maps/place/?q=place_id:ChIJa109TwCdkTMRPVh3X0uaEg4
LANDBANK - Baguio Naguilian,Bank,OPERATIONAL,Baguio,Benguet,Cordillera Administrative Region,"CH7P+CV2, Naguilian Rd, Baguio, Benguet, Philippines",16.4135087,120.5871299,2.2,19,ChIJtWUQjW-hkTMRZTgI4NSix4s,https://www.google.com/maps/place/?q=place_id:ChIJtWUQjW-hkTMRZTgI4NSix4s
Landbank,ATM,OPERATIONAL,Bacnotan,La Union,Ilocos Region,"Bacnotan, La Union, Philippines",16.7200465,120.3483081,1,1,ChIJ92fpE1TtkTMRDyxFe2f-eHs,https://www.google.com/maps/place/?q=place_id:ChIJ92fpE1TtkTMRDyxFe2f-eHs
Landbank ATM,Bank,OPERATIONAL,Santol,La Union,Ilocos Region,"QFC5+PX7, Balaoan, Santol, La Union, Philippines",16.771798,120.4599212,,,ChIJhZiAS93rkTMRGW2GyXHnjF0,https://www.google.com/maps/place/?q=place_id:ChIJhZiAS93rkTMRGW2GyXHnjF0
Landbank ATM,ATM,OPERATIONAL,Balaoan,La Union,Ilocos Region,"RCC3+V4C Municipal Hall, MacArthur Hwy, Balaoan, La Union, Philippines",16.8221817,120.4027598,3.7,3,ChIJE-y77O_ukTMRFYaqIptKMLs,https://www.google.com/maps/place/?q=place_id:ChIJE-y77O_ukTMRFYaqIptKMLs
Landbank Easy Access Facility,Bank,OPERATIONAL,San Juan,La Union,Ilocos Region,"San Juan, La Union, Philippines",16.6741933,120.4021368,3,1,ChIJayDO7A-TkTMRg6YGJuCcoAI,https://www.google.com/maps/place/?q=place_id:ChIJayDO7A-TkTMRg6YGJuCcoAI
Landbank,ATM,OPERATIONAL,Naguilian,La Union,Ilocos Region,"G9JV+HM4, Naguilian, La Union, Philippines",16.5315986,120.3941987,,,ChIJzyEpjXyakTMRwh-PrnaBI6Y,https://www.google.com/maps/place/?q=place_id:ChIJzyEpjXyakTMRwh-PrnaBI6Y
Land Bank Satellite Office,Bank,OPERATIONAL,Caba,La Union,Ilocos Region,"C8JV+8QH, Diego Silang Ave, Caba, La Union, Philippines",16.4308107,120.3444944,,,ChIJvQWVu9KckTMRQFfXCKaOiHo,https://www.google.com/maps/place/?q=place_id:ChIJvQWVu9KckTMRQFfXCKaOiHo
LANDBANK - Baguio,Bank,OPERATIONAL,Baguio,Benguet,Cordillera Administrative Region,"19 Ben Palispis Hwy, Baguio, 2602 Benguet, Philippines",16.4019283,120.5945548,2.2,40,ChIJt7ptnROhkTMRrxFzOae5ou8,https://www.google.com/maps/place/?q=place_id:ChIJt7ptnROhkTMRrxFzOae5ou8
LANDBANK - La Trinidad,Bank,OPERATIONAL,La Trinidad,Benguet,Cordillera Administrative Region,"Benguet State University Compound Km5, Magsaysay Avenue, Baguio - La Trinidad - Bontoc Rd, La Trinidad, 2601 Benguet, Philippines",16.4517979,120.5898032,1.8,22,ChIJh_cGXmajkTMRdQxJFcve4EU,https://www.google.com/maps/place/?q=place_id:ChIJh_cGXmajkTMRdQxJFcve4EU
LANDBANK - Luna,Bank,OPERATIONAL,Luna,Apayao,Cordillera Administrative Region,"89J3+RQP Local Government Operations Center Bldg, Luna, Apayao, Philippines",18.3320584,121.3543647,4.7,9,ChIJFZe-q0yxiDMRxsdiIMjsP0g,https://www.google.com/maps/place/?q=place_id:ChIJFZe-q0yxiDMRxsdiIMjsP0g
LANDBANK,Bank,OPERATIONAL,Luna,La Union,Ilocos Region,"Luna, La Union, Philippines",16.8531834,120.3781555,,,ChIJS2hUq6TvkTMRpPKtTsj8HyE,https://www.google.com/maps/place/?q=place_id:ChIJS2hUq6TvkTMRpPKtTsj8HyE
Landbank,Bank,OPERATIONAL,Pugo,La Union,Ilocos Region,"Pugo, La Union, Philippines",16.3184135,120.4672865,,,ChIJR64oJ7N1kTMR46FgyTKLzcM,https://www.google.com/maps/place/?q=place_id:ChIJR64oJ7N1kTMR46FgyTKLzcM
Landbank,Bank,OPERATIONAL,Laoac,Pangasinan,Ilocos Region,"2GWW+PFF, Agbayani Rd, Laoac, Pangasinan, Philippines",16.0468236,120.5461865,,,ChIJhxdcXiEVkTMRJ2HsqJN2oiE,https://www.google.com/maps/place/?q=place_id:ChIJhxdcXiEVkTMRJ2HsqJN2oiE
LANDBANK,Bank,OPERATIONAL,Pozorrubio,Pangasinan,Ilocos Region,"4G6V+8W7, Osmeña St, Pozorrubio, Pangasinan, Philippines",16.1107994,120.5447841,,,ChIJb337qUYTkTMR-0KqLuOZCRE,https://www.google.com/maps/place/?q=place_id:ChIJb337qUYTkTMR-0KqLuOZCRE
LANDBANK - Baguio Calderon,Bank,OPERATIONAL,Baguio,Benguet,Cordillera Administrative Region,"CH6W+QRG, F. Calderon St, Baguio, Benguet, Philippines",16.4119474,120.5971309,2,38,ChIJRyjQqUKhkTMRcmC9Nh7aewQ,https://www.google.com/maps/place/?q=place_id:ChIJRyjQqUKhkTMRcmC9Nh7aewQ
LANDBANK - Lingayen,Bank,OPERATIONAL,Lingayen,Pangasinan,Ilocos Region,"26CM+QF4, Lingayen, Pangasinan, Philippines",16.021908,120.2336822,3,8,ChIJ8cB1_WNekTMRPK2PMgehPf4,https://www.google.com/maps/place/?q=place_id:ChIJ8cB1_WNekTMRPK2PMgehPf4
"LANDBANK - San Carlos, Pangasinan",Bank,OPERATIONAL,San Carlos City,Pangasinan,Ilocos Region,"P Rizal Avenue, San Carlos City, Pangasinan, Philippines",15.9291982,120.3479373,2.8,12,ChIJH5gFNsxEkTMRW9gKv6k_9-8,https://www.google.com/maps/place/?q=place_id:ChIJH5gFNsxEkTMRW9gKv6k_9-8
LANDBANK - Tayug,Bank,OPERATIONAL,Tayug,Pangasinan,Ilocos Region,"2PGW+V46, Tayug - Natividad Rd, Tayug, Pangasinan, Philippines",16.0272335,120.7452337,4.2,6,ChIJKaII87EZkTMRG7r4RmFLdyM,https://www.google.com/maps/place/?q=place_id:ChIJKaII87EZkTMRG7r4RmFLdyM
LANDBANK,Bank,OPERATIONAL,Urdaneta City,Pangasinan,Ilocos Region,"Urdaneta City, Pangasinan, Philippines",15.9754519,120.5646107,,,ChIJkx-gyK8_kTMRjSyHok3Vyo0,https://www.google.com/maps/place/?q=place_id:ChIJkx-gyK8_kTMRjSyHok3Vyo0
LANDBANK - Lagawe,Bank,OPERATIONAL,Lagawe,Ifugao,Cordillera Administrative Region,"R42C+2HW, Tumapang Building, J.P. Rizal Avenue, Poblacion, Lagawe, Ifugao, Lagawe, Philippines",16.8001092,121.1214425,3,15,ChIJB3lD1KglkDMRPfDQZ5qKDdE,https://www.google.com/maps/place/?q=place_id:ChIJB3lD1KglkDMRPfDQZ5qKDdE
"LANDBANK - San Jose, Nueva Ecija",Bank,OPERATIONAL,San Jose City,Nueva Ecija,Central Luzon,"QXRR+FWF, Eugenio St, San Jose City, Nueva Ecija, Philippines",15.7911461,120.9923385,4.8,4,ChIJmTuE3B7akDMRnlA8CkdBi7g,https://www.google.com/maps/place/?q=place_id:ChIJmTuE3B7akDMRnlA8CkdBi7g
Landbank,Bank,OPERATIONAL,Santo Tomas,Batangas,CALABARZON,"Agojo Batang-Gas Corporation, 1, Santo Tomas, 4234 Batangas, Philippines",14.111127,121.1453332,3,2,ChIJSS86dpVlvTMR7MgyWwgzgHA,https://www.google.com/maps/place/?q=place_id:ChIJSS86dpVlvTMR7MgyWwgzgHA
Landbank,Bank,OPERATIONAL,Sudipen,La Union,Ilocos Region,"Sudipen, La Union, Philippines",16.9052449,120.4620113,,,ChIJT9KN-V7mkTMR8vq6w9ptXwQ,https://www.google.com/maps/place/?q=place_id:ChIJT9KN-V7mkTMR8vq6w9ptXwQ
LANDBANK - Alaminos,Bank,OPERATIONAL,Alaminos City,Pangasinan,Ilocos Region,"5X2H+CC7, Alaminos City, Pangasinan, Philippines",16.151032,119.9785456,3,6,ChIJizc1xc3ckzMRpDzKcJpD_gk,https://www.google.com/maps/place/?q=place_id:ChIJizc1xc3ckzMRpDzKcJpD_gk
LANDBANK - Dagupan,Bank,OPERATIONAL,Dagupan City,Pangasinan,Ilocos Region,"28VP+QHP, AB Fernandez E Ave, Downtown District, Dagupan City, Pangasinan, Philippines",16.0444735,120.3364381,3.8,13,ChIJ1XrpgQBokTMRd2SvR3zJTkQ,https://www.google.com/maps/place/?q=place_id:ChIJ1XrpgQBokTMRd2SvR3zJTkQ
LANDBANK - Calasiao,Bank,OPERATIONAL,Calasiao,Pangasinan,Ilocos Region,"Mac Arthur Highway Calasiao - Dagupan Rd, Dagupan City, Pangasinan, Philippines",16.0210051,120.352298,2.5,8,ChIJY-FgxLZCkTMR1S88HNHI2Gk,https://www.google.com/maps/place/?q=place_id:ChIJY-FgxLZCkTMR1S88HNHI2Gk
LANDBANK - Urdaneta,Bank,OPERATIONAL,Urdaneta City,Pangasinan,Ilocos Region,"XHCC+5RX, Urdaneta City, Pangasinan, Philippines",15.9704973,120.5721083,2.8,12,ChIJdaqa46o_kTMR89NxqApNmak,https://www.google.com/maps/place/?q=place_id:ChIJdaqa46o_kTMR89NxqApNmak
Land Bank,Bank,OPERATIONAL,Mabini,Pangasinan,Ilocos Region,"3W9R+RC2, Olongapo - Bugallon Rd, Mabini, Pangasinan, Philippines",16.0695081,119.9410223,,,ChIJQ7-rQ1rokzMRfV3PquH2Pyc,https://www.google.com/maps/place/?q=place_id:ChIJQ7-rQ1rokzMRfV3PquH2Pyc
LANDBANK - Binalonan,Bank,OPERATIONAL,Binalonan,Pangasinan,Ilocos Region,"2HWR+GR3, Binalonan, Pangasinan, Philippines",16.0462707,120.5920606,2.6,10,ChIJd0aPT0sUkTMRcPoIeBDtkv8,https://www.google.com/maps/place/?q=place_id:ChIJd0aPT0sUkTMRcPoIeBDtkv8
"LANDBANK - Umingan, Pangasinan",Bank,OPERATIONAL,Umingan,Pangasinan,Ilocos Region,"Umingan, Pangasinan, Philippines",15.9274303,120.8417735,5,4,ChIJ2X2ZLqkhkTMRs9SSQDTPDeM,https://www.google.com/maps/place/?q=place_id:ChIJ2X2ZLqkhkTMRs9SSQDTPDeM
"LANDBANK - Bolinao, Pangasinan",Bank,OPERATIONAL,Bolinao,Pangasinan,Ilocos Region,"9VQV+295, Bolinao, Pangasinan, Philippines",16.3874971,119.8934929,3.3,3,ChIJs1WwivrNkzMRkxXFwvJnn7w,https://www.google.com/maps/place/?q=place_id:ChIJs1WwivrNkzMRkxXFwvJnn7w
